token,mean_abs_shap_value
mr,3.161195
vrijheidvooreenprikkie,0.9815947
toekomst,0.8341728
three,0.7932484
hoewel,0.7875251
zelfbeschikkingsrecht,0.7260156
bieden,0.55252415
got,0.54373395
coronamaatregelen,0.538626
vaccinatiedwang,0.525149
sommige,0.4755581
waardoor,0.46529704
drie,0.46491015
create,0.44025898
zerotolerance,0.40300682
biedt,0.39062583
we,0.38253623
aantal,0.38234097
significant,0.3675938
sexualharassment,0.35678437
workplaceharassment,0.3066789
wanted,0.30606067
seen,0.302399
geschiedenis,0.3016443
bebrave,0.29811662
waaromdoenzedit,0.2909887
week,0.2845045
hit,0.2800806
overall,0.27870464
komt,0.27644205
net,0.25833932
help,0.24979833
youre,0.24795905
belangrijk,0.24528903
zit,0.2443649
bewust,0.23702385
future,0.2292456
lijkt,0.22859034
important,0.21905003
daarom,0.21396439
zoals,0.21052215
vraag,0.20396423
pretty,0.20328245
conclusion,0.20090748
welke,0.1992373
really,0.19584638
lets,0.19420026
vrijheid,0.19384488
harassment,0.19359668
uiteindelijk,0.1908752
announced,0.1887017
boek,0.18866639
nodig,0.1844485
vaccinatieplicht,0.18373622
despite,0.18063948
wont,0.17952552
eerste,0.17499681
everyone,0.17020227
zien,0.16697603
making,0.16503243
wel,0.16468672
using,0.1646611
aint,0.1643404
vind,0.16328675
tried,0.15726297
said,0.15437277
vol,0.15424804
come,0.1521061
samenwerking,0.15031713
snel,0.14940506
auteur,0.14809288
vaak,0.1397462
zitten,0.13769381
mee,0.13603114
impact,0.12658292
however,0.118589945
eind,0.11277937
political,0.111386746
vaccin,0.11090973
put,0.10763374
brussel,0.10260344
ive,0.10198579
jaar,0.0919782
nieuwe,0.090139374
get,0.089164995
iedereen,0.08732924
hard,0.083578534
onze,0.083501786
echter,0.08227189
genieten,0.08083241
well,0.07926165
mening,0.0784622
make,0.07811694
verhaal,0.07801122
also,0.076895185
including,0.074788444
expected,0.06836288
twee,0.066960536
echt,0.0656767
waar,0.06323711
thought,0.06081178
sexual,0.060726564
heel,0.059894226
would,0.05608035
mensen,0.054836664
change,0.05456813
thing,0.054226372
euro,0.053878132
going,0.051939562
daarnaast,0.051624957
unfortunately,0.05073072
staat,0.048365965
either,0.047365807
covid,0.04446359
dont,0.042736933
best,0.041294415
krijgt,0.04078344
schrijfstijl,0.039751478
nemen,0.039747953
grote,0.039155032
begint,0.03688705
want,0.03544547
year,0.034130234
workplace,0.033056375
houden,0.03260919
mag,0.031999353
blijft,0.031511527
much,0.029377861
figure,0.029205758
society,0.028325977
zullen,0.027928932
go,0.027077176
wasnt,0.026956791
market,0.026723381
could,0.025934916
made,0.025228959
doet,0.025030741
experience,0.024268134
laat,0.02321453
gaan,0.022929288
time,0.022369703
one,0.021195833
day,0.021146072
belangrijke,0.020829858
years,0.02063143
zorgen,0.019555021
regering,0.019474039
leader,0.01943682
procent,0.019386305
comes,0.019379172
goed,0.019261172
vaccinatie,0.018765647
since,0.018047927
report,0.017846258
first,0.01732294
vaccinatiepaspoort,0.01625497
waarop,0.016138436
graag,0.016035918
companies,0.015983885
better,0.015337792
business,0.015001013
situatie,0.014815872
good,0.01389587
try,0.013734958
big,0.013372645
far,0.0129220085
like,0.012643514
left,0.012496352
vooral,0.011580171
gaat,0.011498443
im,0.010655927
didnt,0.010628905
many,0.0105628045
different,0.010528057
leven,0.0104845
verder,0.010388764
personages,0.009975721
helaas,0.009958286
weg,0.009935224
verschillende,0.009790645
light,0.009603864
kunt,0.009580954
waarom,0.009308853
look,0.00908541
lezer,0.008764786
onderzoek,0.008519864
terwijl,0.008490201
erg,0.008109616
jaren,0.008103364
spelen,0.007999924
jammer,0.007655632
work,0.0074193445
ervoor,0.007319619
kind,0.007286479
meest,0.0070309085
enough,0.0063778465
even,0.0062252525
maakt,0.006194745
maken,0.0059146
anonymous,0.0056209923
vrienden,0.005512049
next,0.005053649
take,0.004514749
small,0.004505537
need,0.004453498
einde,0.0043624714
quality,0.0042125387
tijd,0.0040180874
plaats,0.0039297016
new,0.0038046725
another,0.0037777808
land,0.0037144935
probably,0.003493742
gegeven,0.003007074
never,0.0027504766
definitely,0.0027336483
namelijk,0.002680599
problem,0.002546334
product,0.0024750277
range,0.0022143987
way,0.002210823
around,0.0022047432
end,0.0021485644
tussen,0.0020170389
familie,0.0019825185
beter,0.0019156414
manier,0.0017658002
great,0.0017183645
continues,0.0016665348
hold,0.0016500812
groei,0.0016106728
world,0.0015756947
others,0.001282828
metoo,0.0011334348
use,0.0011260101
anderen,0.0010454939
lezen,0.0008518301
waarin,0.00080174487
nederland,0.0
received,0.0
nationale,0.0
safe,0.0
real,0.0
samen,0.0
recent,0.0
run,0.0
recommend,0.0
relatie,0.0
record,0.0
sale,0.0
nederlandse,0.0
sales,0.0
operations,0.0
opposition,0.0
number,0.0
remains,0.0
nieuws,0.0
return,0.0
news,0.0
revenue,0.0
review,0.0
reviews,0.0
opnieuw,0.0
resultaten,0.0
nice,0.0
result,0.0
nieuw,0.0
rest,0.0
right,0.0
robert,0.0
roman,0.0
nooit,0.0
research,0.0
ooit,0.0
nothing,0.0
republicans,0.0
republican,0.0
nuclear,0.0
reuters,0.0
rol,0.0
neemt,0.0
role,0.0
needs,0.0
parlement,0.0
probleem,0.0
raise,0.0
plannen,0.0
ongoing,0.0
ongeveer,0.0
phones,0.0
samenleving,0.0
piece,0.0
place,0.0
plan,0.0
overheid,0.0
phone,0.0
ones,0.0
plastic,0.0
plot,0.0
plug,0.0
plus,0.0
point,0.0
oude,0.0
online,0.0
ontwikkelen,0.0
raad,0.0
past,0.0
particularly,0.0
pad,0.0
parties,0.0
partijen,0.0
parts,0.0
party,0.0
pas,0.0
people,0.0
paar,0.0
per,0.0
ontwikkelingen,0.0
percent,0.0
ontwikkeling,0.0
perfect,0.0
personal,0.0
persoon,0.0
police,0.0
policy,0.0
onderzoekers,0.0
offer,0.0
privacy,0.0
part,0.0
problemen,0.0
process,0.0
products,0.0
office,0.0
program,0.0
project,0.0
politiek,0.0
protector,0.0
protesters,0.0
provide,0.0
public,0.0
punten,0.0
purchase,0.0
quite,0.0
pridemonth,0.0
order,0.0
officials,0.0
price,0.0
politieke,0.0
positieve,0.0
position,0.0
positive,0.0
possible,0.0
post,0.0
onderwijs,0.0
ondanks,0.0
old,0.0
potential,0.0
power,0.0
precies,0.0
open,0.0
premier,0.0
president,0.0
oil,0.0
steeds,0.0
saudi,0.0
volledig,0.0
vijf,0.0
vinden,0.0
vindt,0.0
vlaamse,0.0
vlaanderen,0.0
vleermuizen,0.0
voldoende,0.0
volgen,0.0
volgende,0.0
volgens,0.0
vond,0.0
united,0.0
voorkomen,0.0
vorig,0.0
vote,0.0
vragen,0.0
vriendin,0.0
vrij,0.0
vrouw,0.0
vrouwen,0.0
waarbij,0.0
waard,0.0
vice,0.0
via,0.0
verwachtingen,0.0
verwacht,0.0
us,0.0
used,0.0
users,0.0
uur,0.0
vader,0.0
vakantie,0.0
vallen,0.0
valt,0.0
vanaf,0.0
vandaag,0.0
vanuit,0.0
various,0.0
vele,0.0
ver,0.0
verandering,0.0
verbeteren,0.0
verenigde,0.0
verleden,0.0
verliezen,0.0
verteld,0.0
vertelt,0.0
walloni,0.0
wanneer,0.0
warm,0.0
yesterday,0.0
york,0.0
youarenotalone,0.0
zeer,0.0
zeggen,0.0
zegt,0.0
zei,0.0
zeker,0.0
zelfs,0.0
zet,0.0
zetten,0.0
zichzelf,0.0
ziet,0.0
zin,0.0
zinnen,0.0
zodat,0.0
zoek,0.0
zon,0.0
zorgt,0.0
zouden,0.0
zoveel,0.0
zowel,0.0
yet,0.0
ya,0.0
water,0.0
wrong,0.0
weeks,0.0
weer,0.0
weet,0.0
weinig,0.0
went,0.0
wereld,0.0
werk,0.0
werken,0.0
werknemers,0.0
weten,0.0
whether,0.0
whole,0.0
willen,0.0
wireless,0.0
within,0.0
without,0.0
women,0.0
worked,0.0
working,0.0
works,0.0
worth,0.0
universiteit,0.0
unit,0.0
say,0.0
staan,0.0
software,0.0
someone,0.0
something,0.0
soms,0.0
soort,0.0
space,0.0
spannend,0.0
spanning,0.0
speakup,0.0
speelt,0.0
stad,0.0
uitdagingen,0.0
stand,0.0
stars,0.0
start,0.0
state,0.0
staten,0.0
states,0.0
stay,0.0
stellen,0.0
step,0.0
sterk,0.0
sociale,0.0
slechts,0.0
skin,0.0
size,0.0
schrijven,0.0
schrijver,0.0
screen,0.0
search,0.0
second,0.0
sector,0.0
securities,0.0
security,0.0
see,0.0
seems,0.0
senate,0.0
senator,0.0
sent,0.0
service,0.0
services,0.0
set,0.0
several,0.0
share,0.0
shares,0.0
side,0.0
similar,0.0
still,0.0
strap,0.0
strong,0.0
theres,0.0
things,0.0
think,0.0
though,0.0
thriller,0.0
thursday,0.0
tien,0.0
tijdens,0.0
times,0.0
titel,0.0
today,0.0
toe,0.0
together,0.0
told,0.0
took,0.0
top,0.0
toren,0.0
totaal,0.0
tv,0.0
tweede,0.0
two,0.0
ubidco,0.0
theyre,0.0
the,0.0
stuff,0.0
thats,0.0
stuk,0.0
super,0.0
support,0.0
sure,0.0
system,0.0
systems,0.0
ta,0.0
taart,0.0
taken,0.0
takes,0.0
taking,0.0
tax,0.0
team,0.0
technologie,0.0
technology,0.0
tell,0.0
ten,0.0
ter,0.0
term,0.0
terug,0.0
texas,0.0
national,0.0
aandacht,0.0
name,0.0
decision,0.0
customer,0.0
customers,0.0
da,0.0
dag,0.0
dagen,0.0
data,0.0
days,0.0
deal,0.0
debate,0.0
debt,0.0
decent,0.0
deel,0.0
challenges,0.0
delen,0.0
demand,0.0
democratic,0.0
democrats,0.0
denk,0.0
denken,0.0
derde,0.0
design,0.0
development,0.0
device,0.0
devices,0.0
current,0.0
crucial,0.0
cover,0.0
countrys,0.0
chase,0.0
chief,0.0
china,0.0
chinese,0.0
chips,0.0
cijfers,0.0
city,0.0
clear,0.0
close,0.0
closely,0.0
coming,0.0
company,0.0
companys,0.0
competitive,0.0
computer,0.0
concerns,0.0
continue,0.0
control,0.0
controle,0.0
corporation,0.0
cost,0.0
countries,0.0
country,0.0
diensten,0.0
dieren,0.0
difficult,0.0
election,0.0
elkaar,0.0
employees,0.0
energie,0.0
enige,0.0
enkele,0.0
environment,0.0
ervan,0.0
esther,0.0
europa,0.0
europese,0.0
ever,0.0
every,0.0
everything,0.0
executive,0.0
executives,0.0
expand,0.0
expertise,0.0
extra,0.0
face,0.0
federal,0.0
federale,0.0
feel,0.0
fight,0.0
elk,0.0
eigenlijk,0.0
discussie,0.0
eigen,0.0
division,0.0
dochter,0.0
document,0.0
doel,0.0
doesnt,0.0
dollar,0.0
done,0.0
dood,0.0
druk,0.0
duidelijk,0.0
duurzame,0.0
early,0.0
easily,0.0
easy,0.0
echte,0.0
economic,0.0
economie,0.0
economische,0.0
economy,0.0
eerder,0.0
eerlijk,0.0
effect,0.0
effort,0.0
changes,0.0
cell,0.0
naast,0.0
away,0.0
among,0.0
amro,0.0
analysts,0.0
ander,0.0
anders,0.0
announcement,0.0
anyone,0.0
anything,0.0
area,0.0
auctions,0.0
authority,0.0
back,0.0
case,0.0
bad,0.0
bank,0.0
banken,0.0
banking,0.0
base,0.0
based,0.0
basis,0.0
become,0.0
bedrijf,0.0
bedrijven,0.0
beetje,0.0
amerikaanse,0.0
american,0.0
amazon,0.0
always,0.0
able,0.0
abn,0.0
according,0.0
achter,0.0
acquisition,0.0
action,0.0
actually,0.0
advertising,0.0
af,0.0
afgelopen,0.0
agencies,0.0
agency,0.0
air,0.0
airbus,0.0
aldus,0.0
alle,0.0
alleen,0.0
allemaal,0.0
allow,0.0
almost,0.0
already,0.0
alsof,0.0
although,0.0
begin,0.0
begrijpen,0.0
beide,0.0
blijkt,0.0
board,0.0
bod,0.0
boeken,0.0
bonds,0.0
book,0.0
bought,0.0
bovendien,0.0
box,0.0
brand,0.0
brengen,0.0
buitenland,0.0
buitenlandse,0.0
burgemeester,0.0
bush,0.0
buy,0.0
cable,0.0
call,0.0
called,0.0
came,0.0
campaign,0.0
candidates,0.0
cant,0.0
capital,0.0
blijven,0.0
bit,0.0
bekend,0.0
binnen,0.0
belang,0.0
belangrijkste,0.0
beleggers,0.0
belgi,0.0
belgische,0.0
believe,0.0
bent,0.0
bepaalde,0.0
beslissing,0.0
besluit,0.0
bestaan,0.0
betekent,0.0
betere,0.0
betrokken,0.0
bevolking,0.0
bevorderen,0.0
bijdragen,0.0
bijna,0.0
bijvoorbeeld,0.0
bijzonder,0.0
bill,0.0
billion,0.0
bills,0.0
finally,0.0
financial,0.0
financile,0.0
leest,0.0
larger,0.0
largest,0.0
last,0.0
laten,0.0
later,0.0
latest,0.0
lead,0.0
leaders,0.0
leading,0.0
least,0.0
led,0.0
leiden,0.0
find,0.0
leren,0.0
less,0.0
let,0.0
leuk,0.0
licht,0.0
life,0.0
ligt,0.0
likely,0.0
line,0.0
little,0.0
local,0.0
large,0.0
lange,0.0
lang,0.0
landen,0.0
jackson,0.0
job,0.0
john,0.0
juist,0.0
kans,0.0
keep,0.0
keer,0.0
kennis,0.0
key,0.0
kijken,0.0
kinderen,0.0
klanten,0.0
kleine,0.0
know,0.0
known,0.0
komen,0.0
komende,0.0
korte,0.0
kreeg,0.0
krijgen,0.0
kun,0.0
kwam,0.0
laatste,0.0
long,0.0
looking,0.0
lot,0.0
might,0.0
miljoen,0.0
million,0.0
minder,0.0
minister,0.0
minutes,0.0
misschien,0.0
mobile,0.0
model,0.0
moeder,0.0
moeilijk,0.0
moest,0.0
moeten,0.0
mogelijk,0.0
mogelijke,0.0
moment,0.0
money,0.0
month,0.0
months,0.0
mooie,0.0
moord,0.0
move,0.0
must,0.0
naam,0.0
miljard,0.0
middel,0.0
love,0.0
microsoft,0.0
low,0.0
lower,0.0
aandelen,0.0
maatregelen,0.0
macht,0.0
main,0.0
major,0.0
maker,0.0
makes,0.0
man,0.0
management,0.0
mannen,0.0
markets,0.0
markt,0.0
mars,0.0
may,0.0
maybe,0.0
media,0.0
meet,0.0
members,0.0
men,0.0
metal,0.0
meteen,0.0
issues,0.0
issue,0.0
iq,0.0
general,0.0
genomen,0.0
geschreven,0.0
getting,0.0
geval,0.0
geven,0.0
gevoel,0.0
gevoelens,0.0
gevolgen,0.0
gewoon,0.0
gezien,0.0
gisteren,0.0
give,0.0
given,0.0
global,0.0
goede,0.0
government,0.0
governments,0.0
governor,0.0
groep,0.0
groot,0.0
grootste,0.0
group,0.0
groups,0.0
genoeg,0.0
gemiddeld,0.0
growth,0.0
gemaakt,0.0
fine,0.0
fit,0.0
focus,0.0
former,0.0
fortis,0.0
forward,0.0
found,0.0
four,0.0
frank,0.0
friday,0.0
gebeuren,0.0
gebeurt,0.0
gebeurtenissen,0.0
gebied,0.0
gebruik,0.0
gebruikt,0.0
gedaan,0.0
geeft,0.0
gegevens,0.0
gehad,0.0
geld,0.0
geleden,0.0
geleid,0.0
growing,0.0
guess,0.0
ipad,0.0
human,0.0
identiteit,0.0
ikprikhetniet,0.0
ill,0.0
inc,0.0
increase,0.0
increased,0.0
increasingly,0.0
industry,0.0
informatie,0.0
information,0.0
inside,0.0
instructions,0.0
intelligence,0.0
interessant,0.0
interest,0.0
international,0.0
internationale,0.0
internet,0.0
investeren,0.0
investeringen,0.0
investigation,0.0
investment,0.0
investors,0.0
id,0.0
huidige,0.0
hadden,0.0
house,0.0
hair,0.0
half,0.0
hand,0.0
handle,0.0
hands,0.0
head,0.0
heavy,0.0
heen,0.0
held,0.0
hele,0.0
helemaal,0.0
helpen,0.0
hen,0.0
high,0.0
higher,0.0
hoge,0.0
hoger,0.0
home,0.0
hong,0.0
hoofdpersoon,0.0
hoog,0.0
hoop,0.0
houdt,0.0
maanden,0.0
